SLUG,PRODUCT,DESCRIPTION,SUPPLIER,STYLE,BLACK,WHITE,MONUMENT,CREAM,CUSTOM,POLISHED_STAINLESS_STEEL,SATIN_STAINLESS_STEEL,MATT_BLACK,PEARL_WHITE_GLOSS,SURFMIST_MATT,DUNE_SATIN,BASALT_SATIN,WOODLAND_GREY_MATT,MONUMENT_MATT,BLACK_SATIN,KWILA_TEXTURED,WESTERN_RED_CEDAR
panel_options+1200x1150,1200H - 1150,Panel,GO,glass_pool,,,,,,C12N-1150,C12N-1150,C12N-1150,,,,,,,,,
panel_options+1200x1200,1200H - 1200,Panel,GO,glass_pool,,,,,,C12N-1200,C12N-1200,C12N-1200,,,,,,,,,
panel_options+1200x1250,1200H - 1250,Panel,GO,glass_pool,,,,,,C12N-1250,C12N-1250,C12N-1250,,,,,,,,,
panel_options+1200x1300,1200H - 1300,Panel,GO,glass_pool,,,,,,C12N-1300,C12N-1300,C12N-1300,,,,,,,,,
panel_options+1200x1350,1200H - 1350,Panel,GO,glass_pool,,,,,,C12N-1350,C12N-1350,C12N-1350,,,,,,,,,
panel_options+1200x1400,1200H - 1400,Panel,GO,glass_pool,,,,,,C12N-1400,C12N-1400,C12N-1400,,,,,,,,,
panel_options+1200x1450,1200H - 1450,Panel,GO,glass_pool,,,,,,C12N-1450,C12N-1450,C12N-1450,,,,,,,,,
panel_options+1200x1500,1200H - 1500,Panel,GO,glass_pool,,,,,,C12N-1500,C12N-1500,C12N-1500,,,,,,,,,
panel_options+1200x1550,1200H - 1550,Panel,GO,glass_pool,,,,,,C12N-1550,C12N-1550,C12N-1550,,,,,,,,,
panel_options+1200x1600,1200H - 1600,Panel,GO,glass_pool,,,,,,C12N-1600,C12N-1600,C12N-1600,,,,,,,,,
panel_options+1200x1650,1200H - 1650,Panel,GO,glass_pool,,,,,,C12N-1650,C12N-1650,C12N-1650,,,,,,,,,
panel_options+1200x1700,1200H - 1700,Panel,GO,glass_pool,,,,,,C12N-1700,C12N-1700,C12N-1700,,,,,,,,,
panel_options+1200x1750,1200H - 1750,Panel,GO,glass_pool,,,,,,C12N-1750,C12N-1750,C12N-1750,,,,,,,,,
panel_options+1200x1800,1200H - 1800,Panel,GO,glass_pool,,,,,,C12N-1800,C12N-1800,C12N-1800,,,,,,,,,
